lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,1847,1786,Brewer Park,1959
P7,Bronson Ave & University Dr,147,86,Brewer Park,4521
P7,Bronson Ave & University Dr,9175,9114,Brewer Park,9641
P5,Stadium Way,709,648,Brewer Park,822
P7,Bronson Ave & University Dr,9088,9027,Brewer Park,9561
P5,Stadium Way,806,745,Brewer Park,923
P5,Stadium Way,3086,3025,Brewer Park,3199
P5,Stadium Way,371,310,Brewer Park,487
P7,Bronson Ave & University Dr,8667,8606,Brewer Park,9136
P7,Bronson Ave & University Dr,10906,10845,Brewer Park,11384
P7,Bronson Ave & University Dr,9005,8944,Brewer Park,9472
P5,Stadium Way,2496,2435,Brewer Park,2602
P7,Bronson Ave & University Dr,12015,11954,Brewer Park,12813
P3,Stadium Way,3514,3453,Brewer Park,3627
P7,Bronson Ave & University Dr,12481,12420,Brewer Park,12931
P7,Bronson Ave & University Dr,8598,8537,Brewer Park,9069
P7,Bronson Ave & University Dr,11161,11100,Brewer Park,11641
P7,Bronson Ave & University Dr,8863,8802,Brewer Park,9334
P4,Stadium Way,4327,4266,Brewer Park,4441
P5,Stadium Way,2379,2318,Brewer Park,2496
P4,Stadium Way,4257,4196,Brewer Park,4368
P7,Bronson Ave & University Dr,11473,11412,Brewer Park,11939
P7,Bronson Ave & University Dr,10288,10227,Brewer Park,11072
P7,Bronson Ave & University Dr,9726,9665,Brewer Park,10196
P3,Stadium Way,3453,3392,Brewer Park,3574
P3,Stadium Way,3951,3890,Brewer Park,4065
P7,Bronson Ave & University Dr,10138,10077,Brewer Park,10913
P5,Stadium Way,960,899,Brewer Park,1072
P7,Bronson Ave & University Dr,8496,8435,Brewer Park,8960
P5,Stadium Way,838,777,Brewer Park,949
P7,Bronson Ave & University Dr,225,164,Brewer Park,4619
P5,Stadium Way,2559,2498,Brewer Park,2674
P7,Bronson Ave & University Dr,8397,8336,Brewer Park,8864
P1,Colonel By,236,175,Hogs Back Plaza (SW dest.),438
P5,Stadium Way,734,673,Brewer Park,844
P2,Colonel By,550,489,Hogs Back Plaza (SW dest.),914
P5,Stadium Way,2959,2898,Brewer Park,3066
P5,Stadium Way,1854,1793,Brewer Park,1969
P7,Bronson Ave & University Dr,10810,10749,Brewer Park,11282
P3,Stadium Way,3886,3825,Brewer Park,3994
P5,Stadium Way,314,253,Brewer Park,406
P5,Stadium Way,1424,1363,Brewer Park,1520
P7,Bronson Ave & University Dr,8351,8290,Brewer Park,8816
P5,Stadium Way,1743,1682,Brewer Park,1852
P5,Stadium Way,2005,1944,Brewer Park,2123
P7,Bronson Ave & University Dr,11922,11861,Brewer Park,12723
P7,Bronson Ave & University Dr,8833,8772,Brewer Park,9296
P7,Bronson Ave & University Dr,11587,11526,Brewer Park,12363
P3,Stadium Way,3731,3670,Brewer Park,3838
