id,lat,lon
674,52.6676503,7.4845567
675,51.8470397,7.4845715
676,53.1764456,7.4849236
677,51.4725362,7.4851028
678,53.236573,7.4878385
679,51.9040244,7.4886201
680,51.5481741,7.4886866
681,53.4823115,7.4902864
682,53.0088076,7.4914882
683,50.4406846,7.4940935
684,52.6806601,7.4961998
685,50.8477365,7.5005863
686,51.1925312,7.505546
687,50.309229,7.5064059
688,51.111166,7.5072423
689,52.6778567,7.5079928
690,52.2952274,7.5081723
691,49.7992321,7.5094485
692,50.2674968,7.5098727
693,51.3406981,7.5110399
694,51.6093619,7.5123458
695,50.2662828,7.5125527
696,51.6222148,7.5156783
697,50.3105643,7.517811
698,50.9842983,7.5179749
699,51.2454332,7.5236795
700,50.5659295,7.5265041
701,50.5620835,7.5266755
702,50.3235713,7.527019
703,49.6123313,7.5289624
704,51.0851588,7.5305988
705,53.160944,7.5306699
706,52.1780809,7.5333315
707,50.9602337,7.5347632
708,50.3942537,7.5354651
709,51.4774907,7.5376885
710,51.6211657,7.5378965
711,52.1674032,7.5422189
712,51.4753135,7.5433576
713,50.949269,7.5452617
714,49.982693,7.5476759
715,51.9463039,7.5479567
716,50.2790247,7.5485829
717,50.214031,7.5494533
718,47.7381668,7.5518133
719,52.1559805,7.5525006
720,47.8116037,7.5546418
721,49.9753941,7.5549045
722,51.9247121,7.5588288
723,51.0700645,7.5593295
724,51.4505161,7.5623838
725,47.8130026,7.563618
726,53.1400453,7.5673961
727,53.3967305,7.5689497
728,50.4266389,7.5701663
729,53.1382581,7.5703189
730,50.4270787,7.5717213
731,50.426295,7.5721611
732,50.9441702,7.5735459
733,51.505227,7.5736212
734,51.422653,7.574467
735,51.0032239,7.5760155
736,50.2367607,7.5767557
737,50.3786957,7.5827788
738,50.3344387,7.5829522
739,49.6501681,7.5855712
740,48.0246102,7.586445
741,50.5467833,7.5864497
742,48.0267725,7.5868688
743,50.3563392,7.5883179
744,48.0261165,7.5893329
745,47.7867296,7.5904233
746,49.2197355,7.5931906
747,53.3057055,7.5938556
748,47.6338567,7.5939844
749,49.9768011,7.5966466
750,50.3177749,7.5993775
751,47.5977593,7.5998795
752,47.8058196,7.600827
753,47.6002305,7.6030234
754,50.5098089,7.6035601
755,51.9376398,7.6044969
756,50.3026629,7.6051155
757,47.6257599,7.6072753
758,50.4017076,7.6075611
759,47.6255046,7.6082513
760,50.8726166,7.6085731
761,53.5453271,7.6089799
762,47.8116464,7.6102075
763,47.5942045,7.6103923
764,51.9432194,7.6108318
765,51.3690893,7.6109023
766,52.11071,7.61118
767,51.0060881,7.6116298
768,50.337897,7.6117761
769,49.2140887,7.6126208
770,50.3931887,7.6168018
771,50.6897208,7.6233869
772,50.2095608,7.6262518
773,51.9316212,7.6272933
774,52.1747213,7.6283534
775,51.7924635,7.6285431
776,50.8820588,7.6289806
777,50.284936,7.6291145
778,50.6874492,7.6319639
779,51.9072997,7.6333433
780,53.1400969,7.6380354
781,51.6610993,7.6385615
782,47.8585676,7.6392454
783,51.0171579,7.6396849
784,51.6635026,7.6410159
785,51.2136875,7.6465232
786,49.2864046,7.6495769
787,47.8727046,7.6504066
788,50.442569,7.6526854
789,51.1066425,7.6531138
790,50.5493419,7.656319
791,51.6239581,7.6580749
792,51.7352405,7.6628646
793,49.4388995,7.6638734
