"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"6955_3",130,46978066,"Stadionstraße","",1,,935,1,0
"6955_3",114,47008011,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008034,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008035,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008036,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008038,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008039,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008004,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008009,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008008,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008007,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008005,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008006,"Stadionstraße","",1,,937,1,0
"6955_3",114,47008029,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008003,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007932,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008002,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007931,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008001,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007930,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008000,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007929,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007999,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007928,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007998,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007927,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007997,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007926,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007996,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007925,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007995,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007924,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007912,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007923,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007911,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007922,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007910,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007921,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007909,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007920,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007908,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007969,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007907,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007968,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007906,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007967,"Stadionstraße","",1,,937,1,0
"6955_3",124,47007905,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007966,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007965,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007964,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007963,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007962,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007961,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007960,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007959,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007958,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007957,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007952,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007951,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007950,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007949,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007948,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007956,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007947,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007946,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007945,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007944,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007943,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007955,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007942,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007941,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007940,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007939,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007938,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007954,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007937,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007936,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007935,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007934,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007933,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007953,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007919,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007918,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007917,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007916,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007915,"Stadionstraße","",1,,937,1,0
"6955_3",114,47007914,"Stadionstraße","",1,,937,1,0
"6955_3",114,47008027,"Stadionstraße","",1,,937,1,0
"6955_3",114,47008026,"Stadionstraße","",1,,937,1,0
"6955_3",114,47008025,"Stadionstraße","",1,,937,1,0
"6955_3",131,47008024,"Stadionstraße","",1,,937,1,0
"6955_3",131,47008023,"Stadionstraße","",1,,937,1,0
