JAHR;SATZART1;SATZART2;FT_ENTF3;BE_NUTS3;FT_I;FT_I_ZS;KM_I;KM_I_ZS;TON_I;TON_I_ZS;TKM_I;TKM_I_ZS;FT_G;FT_G_ZS;KM_G;KM_G_ZS;TON_G;TON_G_ZS;TKM_G;TKM_G_ZS
2023;3;1;2;DE27C;152259,5;;13479197,6;;1931041,4;;165836151,9;;152259,5;;13552663,2;;1931041,4;;166424674,1;
2023;3;1;2;DE27D;164241,8;;15065423,7;;2531666,1;;227369424,2;;164241,8;;15065423,7;;2531666,1;;227369424,2;
2023;3;1;2;DE27E;74172,2;();6308017,0;();743527,2;();58706746,8;();74172,2;();6613852,6;();743527,2;();62032260,8;()
2023;3;1;2;DE300;536991,6;;44196449,5;;5076159,6;;423924139,5;;536991,6;;44196449,5;;5076159,6;;423924139,5;
2023;3;1;2;DE401;50241,7;();4771601,0;();597552,5;();58501451,7;();50241,7;();4771601,0;();597552,5;();58501451,7;()
2023;3;1;2;DE402;44776,6;();4361871,5;();360407,1;();31216890,5;();44776,6;();4361871,5;();360407,1;();31216890,5;()
2023;3;1;2;DE403;33066,9;();2718236,1;();;/;;/;33066,9;();2785284,2;();;/;;/
2023;3;1;2;DE404;67807,1;();6203579,2;();723508,2;();67517057,5;();67807,1;();6203579,2;();723508,2;();67517057,5;()
2023;3;1;2;DE405;169119,6;;14336076,0;;2498619,7;();210351731,0;();169119,6;;14379790,9;;2498619,7;();211201813,4;()
2023;3;1;2;DE406;200834,6;;17112888,5;;2447461,0;;205898029,4;;200834,6;;17112888,5;;2447461,0;;205898029,4;
2023;3;1;2;DE407;84079,4;;7825662,1;();1115101,5;();108404313,5;();84079,4;;7825662,1;();1115101,5;();108404313,5;()
2023;3;1;2;DE408;188380,7;;16903731,0;;2121566,0;;191634280,0;;188380,7;;16903731,0;;2121566,0;;191634280,0;
2023;3;1;2;DE409;138846,7;;11515675,3;;1894972,1;;159924170,2;;138846,7;;11536180,7;;1894972,1;;160219448,2;
2023;3;1;2;DE40A;200181,0;;16750721,3;;2362300,6;();195121958,6;();200181,0;;16750721,3;;2362300,6;();195121958,6;()
2023;3;1;2;DE40B;134021,8;;13183879,7;;1902306,2;();183313747,7;();134021,8;;13278247,5;;1902306,2;();185561809,7;()
2023;3;1;2;DE40C;197462,9;;17815645,3;;2448271,1;;220195087,1;;197462,9;;17863808,8;;2448271,1;;220248067,0;
2023;3;1;2;DE40D;102395,0;;9168873,2;;1521759,3;();131019945,7;();102395,0;;9168873,2;;1521759,3;();131019945,7;()
