lon,lat
9.9893688,53.5615057
9.9938093,53.5589035
9.9938118,53.5589042
9.9945911,53.558609
9.9945944,53.5586095
9.9937763,53.5585425
9.9937789,53.5585428
9.9943382,53.5584341
9.9943413,53.5584344
9.9945688,53.5585443
9.9945721,53.5585448
9.9893995,53.5615249
9.989395,53.5615245
9.9939007,53.5589635
9.9939033,53.5589643
9.9942265,53.5473195
9.9942276,53.5473198
9.9898211,53.5617085
9.9894917,53.5615861
9.9938162,53.5475101
9.993817,53.5475107
9.9771887,53.5640679
9.9771882,53.5640676
9.9691816,53.5459265
9.9696393,53.5458702
9.9939199,53.5577766
9.9939219,53.5577771
9.9896883,53.5616249
9.9902415,53.5613759
9.9932668,53.5579325
9.9932681,53.5579331
9.9933132,53.557923
9.9933146,53.5579237
9.9938353,53.5575303
9.9938373,53.5575305
9.9937785,53.5575427
9.9937805,53.5575429
9.9937782,53.557454
9.9937802,53.5574541
9.9939133,53.5575912
9.9939154,53.5575914
9.992944,53.5575614
9.992945,53.5575616
9.9899864,53.5615854
9.9897936,53.5616678
9.9900693,53.5615534
9.989933,53.5616051
9.9939133,53.5575912
9.9939154,53.5575914
9.9756577,53.5584277
9.9756596,53.5584158
9.976929,53.5574168
9.9769293,53.5574171
9.9937268,53.5575008
9.9937286,53.557501
9.9937256,53.5574698
9.9937274,53.55747
9.9937258,53.5574695
9.9937276,53.5574696
9.9932668,53.5579325
9.9932681,53.5579331
9.9937251,53.5575367
9.993727,53.557537
9.9937245,53.5574999
9.9937264,53.5575001
9.9930788,53.5573067
9.99308,53.5573067
9.9938636,53.5474391
9.9938645,53.5474395
9.9779498,53.5567927
9.9779508,53.5567926
9.9698802,53.5460772
9.9696773,53.5460726
9.9846967,53.5641155
9.9846967,53.5641157
9.9939563,53.5576755
9.9939583,53.5576759
9.9939424,53.5576489
9.9939445,53.5576492
9.9939286,53.5576209
9.9939307,53.5576212
9.9938603,53.5577099
9.9938623,53.5577104
9.9939138,53.5576992
9.9939158,53.5576996
9.9938505,53.5575799
9.9938525,53.5575802
9.9934813,53.5578547
9.9934828,53.5578554
9.993221,53.557905
9.9932223,53.5579056
9.9772567,53.5640883
9.9772561,53.564088
9.9768891,53.5573952
9.9768894,53.5573955
9.9757498,53.5583469
9.9757503,53.5583467
9.9952097,53.5485021
9.995211,53.5485023
9.9935005,53.5584335
9.9935027,53.5584338
9.9928253,53.5575662
9.9928261,53.5575665
9.9928107,53.5575393
9.9928117,53.5575396
9.9933716,53.5578751
9.9933731,53.5578756
9.994462,53.5484971
9.9944627,53.5484973
9.9930797,53.5574016
9.9930807,53.5574017
9.9928492,53.5576075
9.9928501,53.5576078
9.992848,53.5574944
9.9928489,53.5574946
9.9930466,53.5573723
9.9930477,53.5573724
9.9928996,53.5575872
9.9929005,53.5575876
9.9937483,53.5589126
9.9937508,53.5589134
9.992955,53.5575836
9.9929562,53.5575839
9.9929282,53.5576414
9.9929292,53.5576418
9.9736234,53.5495322
9.9738872,53.5498048
9.9945168,53.5585487
9.9945201,53.5585491
9.9940332,53.5577294
9.9940354,53.5577298
9.9932668,53.5579325
9.9932681,53.5579331
9.9944927,53.5584794
9.9944959,53.5584798
9.9931035,53.5573428
9.9931047,53.5573429
9.975342,53.560998
9.9757612,53.5611703
9.9937511,53.5475063
9.9937517,53.5475069
9.9937946,53.5575844
9.9937965,53.5575846
9.993448,53.5578966
9.9934496,53.5578972
9.9930455,53.5578512
9.9930467,53.5578517
9.9754872,53.5612014
9.975422,53.5609414
9.9932668,53.5579325
9.9932681,53.5579331
9.969016,53.5460046
9.9690205,53.5459818
9.994462,53.5484971
9.9944627,53.5484973
9.973783,53.5497268
9.9736663,53.5495219
9.9928878,53.5575698
9.9928887,53.5575701
9.9898211,53.5617085
9.9901049,53.5612335
9.9929855,53.5576404
9.9929866,53.5576408
9.9940332,53.5577294
9.9940354,53.5577298
9.9899303,53.5616071
9.9896423,53.5616521
9.9927952,53.5575152
9.9927961,53.5575154
9.9947655,53.548579
9.9947665,53.5485792
9.9946476,53.5586084
9.9946511,53.5586089
9.9942285,53.5473451
9.9942298,53.5473454
9.9895448,53.5615726
9.9900038,53.5612437
9.995065,53.5484541
9.9950663,53.5484543
9.9765726,53.5574068
9.9765377,53.5574244
9.9947447,53.5483486
9.9947457,53.5483487
9.9766535,53.5573703
9.9765725,53.5574071
9.9765005,53.5575373
