BE_NUTS3;FT_ENTF21;NULAGX;FT_I
DE115;2;7;281
DE115;2;8;22
DE115;2;9;6
DE115;3;1;12
DE115;3;2;36
DE115;3;3;35
DE115;3;4;29
DE115;3;5;38
DE115;3;6;43
DE115;3;7;72
DE115;3;8;6
DE115;3;9;2
DE115;4;1;7
DE115;4;2;24
DE115;4;3;23
DE115;4;4;19
DE115;4;5;25
DE115;4;6;28
DE115;4;7;47
DE115;4;8;4
DE115;4;9;1
DE115;5;1;5
DE115;5;2;15
DE115;5;3;15
DE115;5;4;12
DE115;5;5;16
DE115;5;6;18
DE115;5;7;30
DE115;5;8;2
DE115;5;9;1
DE115;6;1;4
DE115;6;2;11
DE115;6;3;11
DE115;6;4;9
DE115;6;5;12
DE115;6;6;13
DE115;6;7;22
DE115;6;8;2
DE115;6;9;0
DE115;7;1;2
DE115;7;2;8
DE115;7;3;7
DE115;7;4;6
DE115;7;5;8
DE115;7;6;9
DE115;7;7;15
DE115;7;8;1
DE115;7;9;0
DE115;8;1;2
DE115;8;2;5
DE115;8;3;5
DE115;8;4;4
DE115;8;5;5
DE115;8;6;6
DE115;8;7;10
DE115;8;8;1
DE115;8;9;0
DE115;9;1;1
DE115;9;2;4
DE115;9;3;4
DE115;9;4;3
DE115;9;5;4
DE115;9;6;5
DE115;9;7;8
DE115;9;8;1
DE115;9;9;0
DE115;10;1;1
DE115;10;2;3
DE115;10;3;3
DE115;10;4;2
DE115;10;5;3
DE115;10;6;4
DE115;10;7;6
DE115;10;8;0
DE115;10;9;0
DE115;11;1;1
DE115;11;2;3
DE115;11;3;2
DE115;11;4;2
DE115;11;5;3
DE115;11;6;3
DE115;11;7;5
DE115;11;8;0
DE115;11;9;0
DE115;12;1;1
DE115;12;2;2
DE115;12;3;2
DE115;12;4;2
DE115;12;5;2
DE115;12;6;2
DE115;12;7;4
DE115;12;8;0
DE115;12;9;0
DE115;13;1;0
DE115;13;2;1
DE115;13;3;1
DE115;13;4;1
DE115;13;5;2
DE115;13;6;2
DE115;13;7;3
DE115;13;8;0
DE115;13;9;0
DE115;14;1;0
DE115;14;2;1
DE115;14;3;1
DE115;14;4;1
DE115;14;5;1
DE115;14;6;1
DE115;14;7;2
DE115;14;8;0
DE115;14;9;0
DE115;15;1;0
DE115;15;2;1
DE115;15;3;1
DE115;15;4;0
DE115;15;5;1
DE115;15;6;1
DE115;15;7;1
DE115;15;8;0
DE115;15;9;0
DE115;16;1;0
DE115;16;2;0
DE115;16;3;0
DE115;16;4;0
DE115;16;5;0
DE115;16;6;0
DE115;16;7;1
DE115;16;8;0
DE115;16;9;0
DE115;17;1;0
DE115;17;2;0
DE115;17;3;0
DE115;17;4;0
DE115;17;5;0
DE115;17;6;0
DE115;17;7;1
DE115;17;8;0
DE115;17;9;0
DE115;18;1;0
DE115;18;2;0
DE115;18;3;0
DE115;18;4;0
DE115;18;5;0
DE115;18;6;0
DE115;18;7;0
DE115;18;8;0
DE115;18;9;0
DE115;19;1;0
DE115;19;2;0
DE115;19;3;0
DE115;19;4;0
DE115;19;5;0
DE115;19;6;0
DE115;19;7;0
DE115;19;8;0
DE115;19;9;0
DE115;20;1;0
DE115;20;2;0
DE115;20;3;0
DE115;20;4;0
DE115;20;5;0
DE115;20;6;0
DE115;20;7;0
DE115;20;8;0
DE115;20;9;0
DE115;21;1;0
DE115;21;2;1
DE115;21;3;1
DE115;21;4;1
DE115;21;5;1
DE115;21;6;1
DE115;21;7;1
DE115;21;8;0
DE115;21;9;0
DE116;1;1;57
DE116;1;2;180
DE116;1;3;174
DE116;1;4;145
DE116;1;5;187
DE116;1;6;213
DE116;1;7;357
DE116;1;8;27
DE116;1;9;8
DE116;2;1;22
DE116;2;2;68
DE116;2;3;66
DE116;2;4;55
DE116;2;5;71
DE116;2;6;81
DE116;2;7;135
DE116;2;8;10
DE116;2;9;3
DE116;3;1;4
DE116;3;2;13
DE116;3;3;13
DE116;3;4;10
DE116;3;5;13
DE116;3;6;15
DE116;3;7;26
DE116;3;8;2
DE116;3;9;1
DE116;4;1;3
DE116;4;2;8
DE116;4;3;8
DE116;4;4;7
DE116;4;5;9
DE116;4;6;10
DE116;4;7;17
DE116;4;8;1
DE116;4;9;0
DE116;5;1;2
DE116;5;2;5
DE116;5;3;5
DE116;5;4;4
DE116;5;5;6
DE116;5;6;6
DE116;5;7;11
DE116;5;8;1
DE116;5;9;0
DE116;6;1;1
DE116;6;2;4
DE116;6;3;4
DE116;6;4;3
DE116;6;5;4
DE116;6;6;5
DE116;6;7;8
DE116;6;8;1
DE116;6;9;0
DE116;7;1;1
DE116;7;2;3
DE116;7;3;3
DE116;7;4;2
DE116;7;5;3
DE116;7;6;3
DE116;7;7;5
DE116;7;8;0
DE116;7;9;0
DE116;8;1;1
DE116;8;2;2
DE116;8;3;2
DE116;8;4;1
DE116;8;5;2
DE116;8;6;2
DE116;8;7;3
DE116;8;8;0
DE116;8;9;0
DE116;9;1;0
DE116;9;2;1
DE116;9;3;1
DE116;9;4;1
DE116;9;5;1
DE116;9;6;2
DE116;9;7;3
DE116;9;8;0
DE116;9;9;0
DE116;10;1;0
DE116;10;2;1
DE116;10;3;1
DE116;10;4;1
DE116;10;5;1
DE116;10;6;1
DE116;10;7;2
DE116;10;8;0
DE116;10;9;0
DE116;11;1;0
DE116;11;2;1
DE116;11;3;1
DE116;11;4;1
DE116;11;5;1
DE116;11;6;1
DE116;11;7;2
DE116;11;8;0
DE116;11;9;0
DE116;12;1;0
DE116;12;2;1
DE116;12;3;1
DE116;12;4;1
DE116;12;5;1
DE116;12;6;1
DE116;12;7;1
DE116;12;8;0
DE116;12;9;0
DE116;13;1;0
DE116;13;2;1
DE116;13;3;1
DE116;13;4;0
DE116;13;5;1
DE116;13;6;1
DE116;13;7;1
DE116;13;8;0
DE116;13;9;0
DE116;14;1;0
DE116;14;2;0
DE116;14;3;0
DE116;14;4;0
DE116;14;5;0
DE116;14;6;0
DE116;14;7;1
DE116;14;8;0
DE116;14;9;0
DE116;15;1;0
DE116;15;2;0
DE116;15;3;0
DE116;15;4;0
DE116;15;5;0
DE116;15;6;0
DE116;15;7;1
DE116;15;8;0
DE116;15;9;0
DE116;16;1;0
DE116;16;2;0
DE116;16;3;0
DE116;16;4;0
DE116;16;5;0
DE116;16;6;0
DE116;16;7;0
DE116;16;8;0
DE116;16;9;0
DE116;17;1;0
DE116;17;2;0
DE116;17;3;0
DE116;17;4;0
DE116;17;5;0
DE116;17;6;0
DE116;17;7;0
DE116;17;8;0
DE116;17;9;0
DE116;18;1;0
DE116;18;2;0
DE116;18;3;0
DE116;18;4;0
DE116;18;5;0
DE116;18;6;0
DE116;18;7;0
DE116;18;8;0
DE116;18;9;0
DE116;19;1;0
DE116;19;2;0
DE116;19;3;0
DE116;19;4;0
DE116;19;5;0
DE116;19;6;0
DE116;19;7;0
DE116;19;8;0
DE116;19;9;0
DE116;20;1;0
DE116;20;2;0
DE116;20;3;0
DE116;20;4;0
DE116;20;5;0
DE116;20;6;0
DE116;20;7;0
DE116;20;8;0
DE116;20;9;0
DE116;21;1;0
DE116;21;2;0
DE116;21;3;0
DE116;21;4;0
DE116;21;5;0
DE116;21;6;0
DE116;21;7;1
DE116;21;8;0
DE116;21;9;0
DE117;1;1;45
DE117;1;2;141
DE117;1;3;136
DE117;1;4;114
DE117;1;5;147
DE117;1;6;167
DE117;1;7;280
DE117;1;8;22
DE117;1;9;6
DE117;2;1;15
DE117;2;2;48
DE117;2;3;47
DE117;2;4;39
DE117;2;5;50
DE117;2;6;57
DE117;2;7;96
DE117;2;8;7
DE117;2;9;2
DE117;3;1;4
DE117;3;2;13
DE117;3;3;12
DE117;3;4;10
DE117;3;5;13
DE117;3;6;15
DE117;3;7;25
DE117;3;8;2
DE117;3;9;1
DE117;4;1;3
DE117;4;2;8
DE117;4;3;8
DE117;4;4;7
DE117;4;5;9
DE117;4;6;10
DE117;4;7;16
DE117;4;8;1
DE117;4;9;0
DE117;5;1;2
DE117;5;2;5
DE117;5;3;5
DE117;5;4;4
DE117;5;5;6
DE117;5;6;6
DE117;5;7;11
DE117;5;8;1
DE117;5;9;0
DE117;6;1;1
DE117;6;2;4
DE117;6;3;4
DE117;6;4;3
DE117;6;5;4
DE117;6;6;5
DE117;6;7;8
DE117;6;8;1
DE117;6;9;0
DE117;7;1;1
DE117;7;2;3
DE117;7;3;3
DE117;7;4;2
DE117;7;5;3
DE117;7;6;3
DE117;7;7;5
DE117;7;8;0
DE117;7;9;0
DE117;8;1;1
DE117;8;2;2
DE117;8;3;2
DE117;8;4;1
DE117;8;5;2
DE117;8;6;2
DE117;8;7;3
DE117;8;8;0
DE117;8;9;0
DE117;9;1;0
DE117;9;2;1
DE117;9;3;1
DE117;9;4;1
DE117;9;5;1
DE117;9;6;2
DE117;9;7;3
DE117;9;8;0
DE117;9;9;0
DE117;10;1;0
DE117;10;2;1
DE117;10;3;1
DE117;10;4;1
DE117;10;5;1
DE117;10;6;1
DE117;10;7;2
DE117;10;8;0
DE117;10;9;0
DE117;11;1;0
DE117;11;2;1
DE117;11;3;1
DE117;11;4;1
DE117;11;5;1
DE117;11;6;1
DE117;11;7;2
DE117;11;8;0
DE117;11;9;0
DE117;12;1;0
DE117;12;2;1
DE117;12;3;1
DE117;12;4;1
DE117;12;5;1
DE117;12;6;1
DE117;12;7;1
DE117;12;8;0
DE117;12;9;0
DE117;13;1;0
DE117;13;2;1
DE117;13;3;1
DE117;13;4;0
DE117;13;5;1
DE117;13;6;1
DE117;13;7;1
DE117;13;8;0
DE117;13;9;0
DE117;14;1;0
DE117;14;2;0
DE117;14;3;0
DE117;14;4;0
DE117;14;5;0
DE117;14;6;0
DE117;14;7;1
DE117;14;8;0
DE117;14;9;0
DE117;15;1;0
DE117;15;2;0
DE117;15;3;0
DE117;15;4;0
DE117;15;5;0
DE117;15;6;0
DE117;15;7;1
DE117;15;8;0
DE117;15;9;0
DE117;16;1;0
DE117;16;2;0
DE117;16;3;0
DE117;16;4;0
DE117;16;5;0
DE117;16;6;0
DE117;16;7;0
DE117;16;8;0
DE117;16;9;0
DE117;17;1;0
DE117;17;2;0
DE117;17;3;0
DE117;17;4;0
DE117;17;5;0
DE117;17;6;0
DE117;17;7;0
DE117;17;8;0
DE117;17;9;0
DE117;18;1;0
DE117;18;2;0
DE117;18;3;0
DE117;18;4;0
DE117;18;5;0
DE117;18;6;0
DE117;18;7;0
DE117;18;8;0
DE117;18;9;0
DE117;19;1;0
DE117;19;2;0
DE117;19;3;0
DE117;19;4;0
DE117;19;5;0
DE117;19;6;0
DE117;19;7;0
DE117;19;8;0
DE117;19;9;0
DE117;20;1;0
DE117;20;2;0
DE117;20;3;0
DE117;20;4;0
DE117;20;5;0
DE117;20;6;0
DE117;20;7;0
DE117;20;8;0
DE117;20;9;0
DE117;21;1;0
DE117;21;2;0
DE117;21;3;0
DE117;21;4;0
DE117;21;5;0
DE117;21;6;0
DE117;21;7;1
DE117;21;8;0
DE117;21;9;0
DE118;1;1;74
DE118;1;2;234
DE118;1;3;226
DE118;1;4;188
DE118;1;5;243
DE118;1;6;276
DE118;1;7;463
DE118;1;8;36
DE118;1;9;10
DE118;2;1;29
DE118;2;2;92
DE118;2;3;89
DE118;2;4;74
DE118;2;5;96
DE118;2;6;109
DE118;2;7;182
DE118;2;8;14
DE118;2;9;4
DE118;3;1;10
DE118;3;2;33
DE118;3;3;31
DE118;3;4;26
DE118;3;5;34
DE118;3;6;39
DE118;3;7;65
DE118;3;8;5
DE118;3;9;1
DE118;4;1;7
DE118;4;2;21
DE118;4;3;20
DE118;4;4;17
DE118;4;5;22
DE118;4;6;25
DE118;4;7;42
DE118;4;8;3
DE118;4;9;1
DE118;5;1;4
DE118;5;2;14
DE118;5;3;13
DE118;5;4;11
DE118;5;5;14
DE118;5;6;16
DE118;5;7;27
DE118;5;8;2
DE118;5;9;1
DE118;6;1;3
DE118;6;2;10
DE118;6;3;10
DE118;6;4;8
DE118;6;5;10
DE118;6;6;12
DE118;6;7;20
DE118;6;8;2
DE118;6;9;0
DE118;7;1;2
DE118;7;2;7
DE118;7;3;7
DE118;7;4;5
DE118;7;5;7
DE118;7;6;8
DE118;7;7;13
DE118;7;8;1
DE118;7;9;0
DE118;8;1;1
DE118;8;2;4
