time_s,cars_on_campus,cumulative_spawned,cumulative_exited
914,2729,3200,471
915,2729,3200,471
916,2729,3200,471
917,2728,3200,472
918,2728,3200,472
919,2728,3200,472
920,2728,3200,472
921,2727,3200,473
922,2726,3200,474
923,2726,3200,474
924,2726,3200,474
925,2725,3200,475
926,2725,3200,475
927,2725,3200,475
928,2725,3200,475
929,2725,3200,475
930,2725,3200,475
931,2724,3200,476
932,2724,3200,476
933,2724,3200,476
934,2724,3200,476
935,2724,3200,476
936,2724,3200,476
937,2724,3200,476
938,2724,3200,476
939,2723,3200,477
940,2723,3200,477
941,2723,3200,477
942,2722,3200,478
943,2722,3200,478
944,2722,3200,478
945,2722,3200,478
946,2721,3200,479
947,2721,3200,479
948,2721,3200,479
949,2721,3200,479
950,2720,3200,480
951,2720,3200,480
952,2720,3200,480
953,2720,3200,480
954,2719,3200,481
955,2719,3200,481
956,2719,3200,481
957,2719,3200,481
958,2719,3200,481
959,2719,3200,481
960,2719,3200,481
961,2718,3200,482
962,2718,3200,482
963,2718,3200,482
964,2718,3200,482
965,2718,3200,482
966,2717,3200,483
967,2717,3200,483
968,2717,3200,483
969,2717,3200,483
970,2717,3200,483
971,2716,3200,484
972,2716,3200,484
973,2716,3200,484
974,2716,3200,484
975,2715,3200,485
976,2714,3200,486
977,2714,3200,486
978,2714,3200,486
979,2714,3200,486
980,2714,3200,486
981,2714,3200,486
982,2713,3200,487
983,2713,3200,487
984,2713,3200,487
985,2712,3200,488
986,2712,3200,488
987,2712,3200,488
988,2711,3200,489
989,2711,3200,489
990,2711,3200,489
991,2710,3200,490
992,2710,3200,490
993,2710,3200,490
994,2710,3200,490
995,2710,3200,490
996,2710,3200,490
997,2709,3200,491
998,2708,3200,492
999,2708,3200,492
1000,2708,3200,492
1001,2708,3200,492
1002,2708,3200,492
1003,2708,3200,492
1004,2707,3200,493
1005,2707,3200,493
1006,2707,3200,493
1007,2707,3200,493
1008,2707,3200,493
1009,2706,3200,494
1010,2706,3200,494
1011,2706,3200,494
1012,2706,3200,494
1013,2706,3200,494
1014,2705,3200,495
1015,2705,3200,495
1016,2705,3200,495
1017,2704,3200,496
1018,2704,3200,496
1019,2704,3200,496
1020,2704,3200,496
1021,2704,3200,496
1022,2704,3200,496
1023,2703,3200,497
1024,2703,3200,497
1025,2703,3200,497
1026,2702,3200,498
1027,2702,3200,498
1028,2702,3200,498
1029,2702,3200,498
1030,2702,3200,498
1031,2702,3200,498
1032,2702,3200,498
1033,2702,3200,498
1034,2702,3200,498
1035,2701,3200,499
1036,2701,3200,499
1037,2700,3200,500
1038,2700,3200,500
1039,2700,3200,500
1040,2700,3200,500
1041,2700,3200,500
1042,2700,3200,500
1043,2700,3200,500
1044,2700,3200,500
1045,2700,3200,500
1046,2700,3200,500
1047,2699,3200,501
1048,2699,3200,501
1049,2699,3200,501
1050,2699,3200,501
1051,2699,3200,501
1052,2698,3200,502
1053,2698,3200,502
1054,2698,3200,502
1055,2697,3200,503
1056,2697,3200,503
1057,2696,3200,504
1058,2696,3200,504
1059,2695,3200,505
1060,2695,3200,505
1061,2694,3200,506
1062,2694,3200,506
1063,2694,3200,506
1064,2694,3200,506
1065,2693,3200,507
1066,2693,3200,507
1067,2692,3200,508
1068,2692,3200,508
1069,2692,3200,508
1070,2692,3200,508
1071,2692,3200,508
1072,2691,3200,509
1073,2691,3200,509
1074,2691,3200,509
1075,2691,3200,509
1076,2691,3200,509
1077,2690,3200,510
1078,2690,3200,510
1079,2690,3200,510
1080,2690,3200,510
1081,2690,3200,510
1082,2690,3200,510
1083,2690,3200,510
1084,2689,3200,511
1085,2689,3200,511
1086,2688,3200,512
1087,2688,3200,512
1088,2688,3200,512
1089,2688,3200,512
1090,2688,3200,512
1091,2688,3200,512
1092,2688,3200,512
1093,2688,3200,512
1094,2688,3200,512
1095,2688,3200,512
1096,2688,3200,512
1097,2688,3200,512
1098,2688,3200,512
1099,2687,3200,513
1100,2687,3200,513
1101,2687,3200,513
1102,2687,3200,513
1103,2686,3200,514
1104,2685,3200,515
1105,2685,3200,515
1106,2685,3200,515
1107,2685,3200,515
1108,2684,3200,516
1109,2684,3200,516
1110,2683,3200,517
1111,2683,3200,517
1112,2682,3200,518
1113,2682,3200,518
1114,2682,3200,518
1115,2682,3200,518
1116,2682,3200,518
1117,2682,3200,518
1118,2682,3200,518
1119,2682,3200,518
1120,2682,3200,518
1121,2681,3200,519
1122,2681,3200,519
1123,2680,3200,520
1124,2680,3200,520
1125,2680,3200,520
1126,2679,3200,521
1127,2679,3200,521
1128,2679,3200,521
1129,2679,3200,521
1130,2679,3200,521
1131,2679,3200,521
1132,2678,3200,522
1133,2678,3200,522
1134,2678,3200,522
1135,2678,3200,522
1136,2678,3200,522
1137,2678,3200,522
1138,2678,3200,522
1139,2678,3200,522
1140,2677,3200,523
1141,2677,3200,523
1142,2677,3200,523
1143,2677,3200,523
1144,2677,3200,523
1145,2676,3200,524
1146,2676,3200,524
1147,2676,3200,524
1148,2676,3200,524
1149,2675,3200,525
1150,2675,3200,525
1151,2675,3200,525
1152,2675,3200,525
1153,2674,3200,526
1154,2674,3200,526
1155,2673,3200,527
1156,2673,3200,527
1157,2673,3200,527
1158,2673,3200,527
1159,2672,3200,528
1160,2672,3200,528
1161,2672,3200,528
1162,2672,3200,528
1163,2671,3200,529
1164,2671,3200,529
1165,2671,3200,529
1166,2670,3200,530
1167,2670,3200,530
1168,2670,3200,530
1169,2670,3200,530
1170,2669,3200,531
1171,2669,3200,531
1172,2668,3200,532
1173,2668,3200,532
1174,2668,3200,532
1175,2667,3200,533
1176,2667,3200,533
1177,2667,3200,533
1178,2667,3200,533
1179,2666,3200,534
1180,2666,3200,534
1181,2666,3200,534
1182,2666,3200,534
1183,2666,3200,534
1184,2666,3200,534
1185,2666,3200,534
1186,2666,3200,534
1187,2666,3200,534
1188,2666,3200,534
1189,2665,3200,535
1190,2665,3200,535
1191,2665,3200,535
1192,2664,3200,536
1193,2664,3200,536
1194,2664,3200,536
1195,2664,3200,536
1196,2663,3200,537
1197,2663,3200,537
1198,2663,3200,537
1199,2663,3200,537
1200,2663,3200,537
1201,2663,3200,537
1202,2662,3200,538
1203,2662,3200,538
1204,2661,3200,539
1205,2661,3200,539
1206,2661,3200,539
1207,2661,3200,539
1208,2661,3200,539
1209,2661,3200,539
1210,2660,3200,540
1211,2660,3200,540
1212,2659,3200,541
1213,2659,3200,541
1214,2659,3200,541
1215,2659,3200,541
1216,2658,3200,542
1217,2658,3200,542
1218,2658,3200,542
1219,2658,3200,542
1220,2658,3200,542
1221,2658,3200,542
1222,2658,3200,542
1223,2658,3200,542
1224,2657,3200,543
1225,2657,3200,543
1226,2657,3200,543
1227,2657,3200,543
1228,2657,3200,543
1229,2657,3200,543
1230,2657,3200,543
1231,2657,3200,543
1232,2657,3200,543
1233,2657,3200,543
1234,2656,3200,544
1235,2656,3200,544
1236,2656,3200,544
1237,2656,3200,544
1238,2656,3200,544
1239,2656,3200,544
1240,2655,3200,545
1241,2655,3200,545
1242,2655,3200,545
1243,2655,3200,545
1244,2655,3200,545
1245,2655,3200,545
1246,2654,3200,546
1247,2654,3200,546
1248,2654,3200,546
1249,2653,3200,547
1250,2653,3200,547
1251,2653,3200,547
1252,2653,3200,547
1253,2652,3200,548
1254,2652,3200,548
1255,2652,3200,548
1256,2652,3200,548
1257,2651,3200,549
1258,2651,3200,549
1259,2651,3200,549
1260,2651,3200,549
1261,2651,3200,549
1262,2651,3200,549
1263,2651,3200,549
1264,2651,3200,549
1265,2650,3200,550
1266,2650,3200,550
1267,2649,3200,551
1268,2649,3200,551
1269,2649,3200,551
1270,2648,3200,552
1271,2648,3200,552
1272,2647,3200,553
1273,2647,3200,553
1274,2646,3200,554
1275,2646,3200,554
1276,2646,3200,554
1277,2646,3200,554
1278,2646,3200,554
1279,2646,3200,554
1280,2646,3200,554
1281,2645,3200,555
1282,2645,3200,555
1283,2645,3200,555
1284,2644,3200,556
1285,2643,3200,557
1286,2643,3200,557
1287,2643,3200,557
1288,2643,3200,557
1289,2643,3200,557
1290,2643,3200,557
1291,2643,3200,557
1292,2643,3200,557
1293,2643,3200,557
1294,2643,3200,557
1295,2642,3200,558
1296,2642,3200,558
1297,2642,3200,558
1298,2642,3200,558
1299,2642,3200,558
1300,2642,3200,558
1301,2642,3200,558
1302,2641,3200,559
1303,2641,3200,559
1304,2640,3200,560
1305,2640,3200,560
1306,2640,3200,560
1307,2640,3200,560
1308,2639,3200,561
1309,2639,3200,561
1310,2639,3200,561
1311,2638,3200,562
1312,2638,3200,562
1313,2638,3200,562
1314,2637,3200,563
1315,2636,3200,564
1316,2636,3200,564
1317,2635,3200,565
1318,2635,3200,565
1319,2635,3200,565
1320,2635,3200,565
1321,2635,3200,565
1322,2635,3200,565
1323,2635,3200,565
1324,2635,3200,565
1325,2635,3200,565
1326,2634,3200,566
1327,2634,3200,566
1328,2633,3200,567
1329,2633,3200,567
1330,2633,3200,567
1331,2633,3200,567
1332,2633,3200,567
1333,2632,3200,568
1334,2632,3200,568
1335,2632,3200,568
1336,2631,3200,569
1337,2631,3200,569
1338,2631,3200,569
1339,2631,3200,569
1340,2631,3200,569
1341,2631,3200,569
1342,2631,3200,569
1343,2630,3200,570
1344,2630,3200,570
1345,2630,3200,570
1346,2630,3200,570
1347,2629,3200,571
1348,2629,3200,571
1349,2629,3200,571
1350,2629,3200,571
1351,2629,3200,571
1352,2628,3200,572
1353,2628,3200,572
1354,2628,3200,572
1355,2628,3200,572
1356,2628,3200,572
1357,2627,3200,573
