"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"6977_3",61,"688","Bf. Altona  >  St. Pauli  >  %UB Gänsemarkt  >  Rathausmarkt",3,"#ff0000","#ff0000",""
"6966_3",61,"621","%SB Wedel  >  Sieversstücken  >  %SB Bahrenfeld  >  Bf. Altona",3,"#ff0000","#ff0000",""
"6964_3",61,"602","Osdorfer Born > %SB Holstenstraße > Rathausmarkt > HafenCity  > Tiefstack",3,"#ff0000","#ff0000",""
"6963_3",61,"601","%SB Wedel  >  %SB Blankenese  >  %SB Othmarschen  >  Bf. Altona  >  Rathausmarkt",3,"#ff0000","#ff0000",""
"6957_3",61,"389","Wedel, Fährenkamp  >  Wedel, Markt  >  %SB Wedel",3,"#ff0000","#ff0000",""
"6956_3",61,"385","%SB Thesdorf > Rellingen > Bf. Pinneberg",3,"#ff0000","#ff0000",""
"6955_3",61,"3","Schenefeld > Bahrenfeld > %SB Holstenstr. > Rathausmarkt > Hbf. > Tiefstack",3,"#ff0000","#ff0000",""
"6954_3",61,"289","%SB Wedel  >  Moorwegsiedlung  >  %SB Wedel",3,"#ff0000","#ff0000",""
"6953_3",61,"288","Pflegezentrum Lutherpark  >  Bf. Altona  >  Fischmarkt",3,"#ff0000","#ff0000",""
"6952_3",61,"286","Rissen > Falkenstein > %SB Blankenese > Teufelsbrück > %SB Othmarschen (> Trabrennbahn B.)",3,"#ff0000","#ff0000",""
"6951_3",61,"285","Iserbrook  >  Schenefeld  >  %SB Thesdorf  >  Bf. Pinneberg",3,"#ff0000","#ff0000",""
"6950_3",61,"284","%UB Niendorf Nord > IKEA Schnelsen > %SB Elbgaustraße > AK Altona",3,"#ff0000","#ff0000",""
"6949_3",61,"281","%SB Krupunder > %UB Hagenbecks Tierpark > %UB Lattenkamp / UK Eppendorf",3,"#ff0000","#ff0000",""
"6948_3",61,"22","%SB Blankenese  >  EEZ  >  %UB Kellinghusenstraße",3,"#ff0000","#ff0000",""
"6947_3",61,"21","%UB Niendorf Nord  >  Eidelstedt  >  Osdorfer Born  >  %SB Klein Flottbek  >  Teufelsbrück",3,"#ff0000","#ff0000",""
"6946_3",61,"2","Schenefeld > Bahrenfeld > Bf. Altona > %UB Baumwall > Hauptbahnhof > %UB%SB Berliner Tor",3,"#ff0000","#ff0000",""
"6945_3",61,"189","%SB Wedel  >  Schulau  >  Tinsdal  >  %SB Blankenese",3,"#ff0000","#ff0000",""
"6944_3",61,"186","%SB Halstenbek > Schenefeld > %SB Elbgaustraße > Osdorf > %SB Othmarschen",3,"#ff0000","#ff0000",""
"6943_3",61,"185","Bf. Elmshorn  >  Kummerfeld  >  Bf. Pinneberg  >  %SB Halstenbek  > Schenefeld",3,"#ff0000","#ff0000",""
"6942_3",61,"15","%SB Othmarschen > Bf. Altona > Alsterchaussee",3,"#ff0000","#ff0000",""
"6941_3",61,"1","%SB Rissen  >  %SB Blankenese  >  Schenef. Holt  > Osdorf  >  %SB Othmarschen  >  Bf. Altona",3,"#ff0000","#ff0000",""
"6881_3",61,"256","Steinwerder > Arningstraße (Fähre) > %SB Veddel > Überseezentrum",3,"#ff0000","#ff0000",""
"6406_3",61,"278","%UB%AB Norderstedt Mitte > %UB Garstedt  >  %UB Ochsenzoll  >  Glashütte",3,"#ff0000","#ff0000",""
"5501_3",61,"736","Ohe  >  Neuschönningstedt  >  Schönningstedt  >  Reinbeker Schulen",3,"#ff0000","#ff0000",""
"5497_3",61,"638","Geesthacht, ZOB  >  Schnakenbek  >  Tesperhude  >   Lauenburg",3,"#ff0000","#ff0000",""
"5496_3",61,"436","%SB Reinbek  >  Schönningstedt  > Ohe",3,"#ff0000","#ff0000",""
"5228_3",61,"539","Geesthacht, ZOB > Gewerbegebiet Mitte/West  >  Vierlander Straße / Niedermarschacht",3,"#ff0000","#ff0000",""
"5227_3",61,"4402","Avendorf > Tespe > Niedermarschacht",3,"#ff0000","#ff0000",""
"5226_3",61,"4400","Bf. Bergedorf > Rönne > Tespe > Avendorf/Bütlingen",3,"#ff0000","#ff0000",""
"4743_3",61,"8895","Börnsen  >  Neu-Börnsen  >  Escheburg  >  Voßmoor > Kröppelshagen",3,"#ff0000","#ff0000",""
"4742_3",61,"8894","Börnsen / Geesthacht, Heuweg >  Geesthachter Schulen",3,"#ff0000","#ff0000",""
"4741_3",61,"8893","Worth  >  Geesthachter Schulen",3,"#ff0000","#ff0000",""
"4740_3",61,"8892","Tesperhude  >  Krümmel  >  Geesthachter Schulen",3,"#ff0000","#ff0000",""
"4739_3",61,"8891","Lauenburg > Grünhof > Geesthachter Schulen",3,"#ff0000","#ff0000",""
"4738_3",61,"8890","Bf. Bergedorf  >  Börnsen > Escheburg  >  Geesthacht, ZOB",3,"#ff0000","#ff0000",""
"4737_3",61,"8882","Friedrichsruh / Grande > Kuddewörde > Möhnsen > Kuddewörde / Grande",3,"#ff0000","#ff0000",""
"4736_3",61,"8862","Lanze  >  Buchhorst  >  Lauenburg, ZOB",3,"#ff0000","#ff0000",""
"4733_3",61,"7141","%AB Henstedt-Ulzburg  >  Nahe  >  Sülfeld  >  Bf. Bad Oldesloe",3,"#ff0000","#ff0000",""
"4732_3",61,"6541","Barmstedt  >  Langeln  > Hemdingen  /  %AB Henstedt-Ulzburg",3,"#ff0000","#ff0000",""
"4551_3",61,"626","%UB  %AB Norderstedt Mitte  >   Harksheide  >  %UB  %AB Norderstedt Mitte",3,"#ff0000","#ff0000",""
"4400_3",61,"627","%SB  Poppenbüttel  >  %UB Hoisbüttel  > Timmerhorn  >  Bf. Bargteheide",3,"#ff0000","#ff0000",""
"4399_3",61,"439","Altengamme > Geesthacht, ZOB > Geesthacht, Gewerbegebiet Mercatorstr.",3,"#ff0000","#ff0000",""
"4398_3",61,"295","Bf. Pinneberg  >  Ellerbek  >  %AB Bönningstedt  >   %UB  Garstedt",3,"#ff0000","#ff0000",""
"4395_3",61,"781","Ellerbek  >  Rellingen  >  Halstenbek, W.-Borchert-Gymnasium",3,"#ff0000","#ff0000",""
"4394_3",61,"776","%SB Reinbek / Glinde > Neuschönningstedt > Siek > Großhansdorf > Ahrensburger Schulen",3,"#ff0000","#ff0000",""
"3872_3",61,"796","Syltkuhlen  >  Schule Friedrichsgabe",3,"#ff0000","#ff0000",""
"3871_3",61,"595","Tangstedt, Siedlung  >  Rellingen, Caspar-Voght-Schule",3,"#ff0000","#ff0000",""
"3792_3",61,"733","Havighorst / %UB Steinfurther Allee > Glinder Schulen",3,"#ff0000","#ff0000",""
"3361_3",61,"794","Quickborn-Heide  >  Ellerau  >  Quickborn, Schuldorf",3,"#ff0000","#ff0000",""
"3337_3",61,"639","Geesthacht, ZOB > Oberstadt / Heuweg > Geesthacht, ZOB",3,"#ff0000","#ff0000",""
"3336_3",61,"239","Geesthacht, ZOB  >  HEW Siedlung  >  Geesthacht, ZOB",3,"#ff0000","#ff0000",""
"3147_3",61,"427","Odemanns Heck  >  Schleusendamm  >  Schule Curslack  >  Schule Kirchwerder",3,"#ff0000","#ff0000",""
"3076_3",61,"737","Barsbüttel  >  Willinghusen  >  Glinder Schulen > Reinbeker Schulen",3,"#ff0000","#ff0000",""
"2188_3",61,"576","Ahrensburg, Freizeitbad  >  Bf. Ahrensburg >  Wulfsdorf",3,"#ff0000","#ff0000",""
"2187_3",61,"329","%SB  Allermöhe  >  Neuallermöhe  >  Bf. Bergedorf",3,"#ff0000","#ff0000",""
"1782_3",61,"230","%UB Billstedt > Billbrook > Gewerbegbiet Allermöhe > %SB Mittlerer Landweg",3,"#ff0000","#ff0000",""
"1781_3",61,"130","%UB Burgstraße > %SB Rothenburgsort > %UB%SB Elbbrücken",3,"#ff0000","#ff0000",""
"1246_3",61,"649","Bf. Bergedorf  >  Max-Eichholz-Ring  >  Klosterbergen  >   %SB  Reinbek",3,"#ff0000","#ff0000",""
