time_s,cars_on_campus,cumulative_spawned,cumulative_exited
4590,3200,3200,0
4591,3200,3200,0
4592,3200,3200,0
4593,3200,3200,0
4594,3200,3200,0
4595,3200,3200,0
4596,3200,3200,0
4597,3200,3200,0
4598,3200,3200,0
4599,3200,3200,0
4600,3200,3200,0
4601,3200,3200,0
4602,3200,3200,0
4603,3200,3200,0
4604,3200,3200,0
4605,3200,3200,0
4606,3200,3200,0
4607,3200,3200,0
4608,3200,3200,0
4609,3200,3200,0
4610,3200,3200,0
4611,3200,3200,0
4612,3200,3200,0
4613,3200,3200,0
4614,3200,3200,0
4615,3200,3200,0
4616,3200,3200,0
4617,3200,3200,0
4618,3200,3200,0
4619,3200,3200,0
4620,3200,3200,0
4621,3200,3200,0
4622,3200,3200,0
4623,3200,3200,0
4624,3200,3200,0
4625,3200,3200,0
4626,3200,3200,0
4627,3200,3200,0
4628,3200,3200,0
4629,3200,3200,0
4630,3200,3200,0
4631,3200,3200,0
4632,3200,3200,0
4633,3200,3200,0
4634,3200,3200,0
4635,3200,3200,0
4636,3200,3200,0
4637,3200,3200,0
4638,3200,3200,0
4639,3200,3200,0
4640,3200,3200,0
4641,3200,3200,0
4642,3200,3200,0
4643,3200,3200,0
4644,3200,3200,0
4645,3200,3200,0
4646,3200,3200,0
4647,3200,3200,0
4648,3200,3200,0
4649,3200,3200,0
4650,3200,3200,0
4651,3200,3200,0
4652,3200,3200,0
4653,3200,3200,0
4654,3200,3200,0
4655,3200,3200,0
4656,3200,3200,0
4657,3200,3200,0
4658,3200,3200,0
4659,3200,3200,0
4660,3200,3200,0
4661,3200,3200,0
4662,3200,3200,0
4663,3200,3200,0
4664,3200,3200,0
4665,3200,3200,0
4666,3200,3200,0
4667,3200,3200,0
4668,3200,3200,0
4669,3200,3200,0
4670,3200,3200,0
4671,3200,3200,0
4672,3200,3200,0
4673,3200,3200,0
4674,3200,3200,0
4675,3200,3200,0
4676,3200,3200,0
4677,3200,3200,0
4678,3200,3200,0
4679,3200,3200,0
4680,3200,3200,0
4681,3200,3200,0
4682,3200,3200,0
4683,3200,3200,0
4684,3200,3200,0
4685,3200,3200,0
4686,3200,3200,0
4687,3200,3200,0
4688,3200,3200,0
4689,3200,3200,0
4690,3200,3200,0
4691,3200,3200,0
4692,3200,3200,0
4693,3200,3200,0
4694,3200,3200,0
4695,3200,3200,0
4696,3200,3200,0
4697,3200,3200,0
4698,3200,3200,0
4699,3200,3200,0
4700,3200,3200,0
4701,3200,3200,0
4702,3200,3200,0
4703,3200,3200,0
4704,3200,3200,0
4705,3200,3200,0
4706,3200,3200,0
4707,3200,3200,0
4708,3200,3200,0
4709,3200,3200,0
4710,3200,3200,0
4711,3200,3200,0
4712,3200,3200,0
4713,3200,3200,0
4714,3200,3200,0
4715,3200,3200,0
4716,3200,3200,0
4717,3200,3200,0
4718,3200,3200,0
4719,3200,3200,0
4720,3200,3200,0
4721,3200,3200,0
4722,3200,3200,0
4723,3200,3200,0
4724,3200,3200,0
4725,3200,3200,0
4726,3200,3200,0
4727,3200,3200,0
4728,3200,3200,0
4729,3200,3200,0
4730,3200,3200,0
4731,3200,3200,0
4732,3200,3200,0
4733,3200,3200,0
4734,3200,3200,0
4735,3200,3200,0
4736,3200,3200,0
4737,3200,3200,0
4738,3200,3200,0
4739,3200,3200,0
4740,3200,3200,0
4741,3200,3200,0
4742,3200,3200,0
4743,3200,3200,0
4744,3200,3200,0
4745,3200,3200,0
4746,3200,3200,0
4747,3200,3200,0
4748,3200,3200,0
4749,3200,3200,0
4750,3200,3200,0
4751,3200,3200,0
4752,3200,3200,0
4753,3200,3200,0
4754,3200,3200,0
4755,3200,3200,0
4756,3200,3200,0
4757,3200,3200,0
4758,3200,3200,0
4759,3200,3200,0
4760,3200,3200,0
4761,3200,3200,0
4762,3200,3200,0
4763,3200,3200,0
4764,3200,3200,0
4765,3200,3200,0
4766,3200,3200,0
4767,3200,3200,0
4768,3200,3200,0
4769,3200,3200,0
4770,3200,3200,0
4771,3200,3200,0
4772,3200,3200,0
4773,3200,3200,0
4774,3200,3200,0
4775,3200,3200,0
4776,3200,3200,0
4777,3200,3200,0
4778,3200,3200,0
4779,3200,3200,0
4780,3200,3200,0
4781,3200,3200,0
4782,3200,3200,0
4783,3200,3200,0
4784,3200,3200,0
4785,3200,3200,0
4786,3200,3200,0
4787,3200,3200,0
4788,3200,3200,0
4789,3200,3200,0
4790,3200,3200,0
4791,3200,3200,0
4792,3200,3200,0
4793,3200,3200,0
4794,3200,3200,0
4795,3200,3200,0
4796,3200,3200,0
4797,3200,3200,0
4798,3200,3200,0
4799,3200,3200,0
4800,3200,3200,0
4801,3200,3200,0
4802,3200,3200,0
4803,3200,3200,0
4804,3200,3200,0
4805,3200,3200,0
4806,3200,3200,0
4807,3200,3200,0
4808,3200,3200,0
4809,3200,3200,0
4810,3200,3200,0
4811,3200,3200,0
4812,3200,3200,0
4813,3200,3200,0
4814,3200,3200,0
4815,3200,3200,0
4816,3200,3200,0
4817,3200,3200,0
4818,3200,3200,0
4819,3200,3200,0
4820,3200,3200,0
4821,3200,3200,0
4822,3200,3200,0
4823,3200,3200,0
4824,3200,3200,0
4825,3200,3200,0
4826,3200,3200,0
4827,3200,3200,0
4828,3200,3200,0
4829,3200,3200,0
4830,3200,3200,0
4831,3200,3200,0
4832,3200,3200,0
4833,3200,3200,0
4834,3200,3200,0
4835,3200,3200,0
4836,3200,3200,0
4837,3200,3200,0
4838,3200,3200,0
4839,3200,3200,0
4840,3200,3200,0
4841,3200,3200,0
4842,3200,3200,0
4843,3200,3200,0
4844,3200,3200,0
4845,3200,3200,0
4846,3200,3200,0
4847,3200,3200,0
4848,3200,3200,0
4849,3200,3200,0
4850,3200,3200,0
4851,3200,3200,0
4852,3200,3200,0
4853,3200,3200,0
4854,3200,3200,0
4855,3200,3200,0
4856,3200,3200,0
4857,3200,3200,0
4858,3200,3200,0
4859,3200,3200,0
4860,3200,3200,0
4861,3200,3200,0
4862,3200,3200,0
4863,3200,3200,0
4864,3200,3200,0
4865,3200,3200,0
4866,3200,3200,0
4867,3200,3200,0
4868,3200,3200,0
4869,3200,3200,0
4870,3200,3200,0
4871,3200,3200,0
4872,3200,3200,0
4873,3200,3200,0
4874,3200,3200,0
4875,3200,3200,0
4876,3200,3200,0
4877,3200,3200,0
4878,3200,3200,0
4879,3200,3200,0
4880,3200,3200,0
4881,3200,3200,0
4882,3200,3200,0
4883,3200,3200,0
4884,3200,3200,0
4885,3200,3200,0
4886,3200,3200,0
4887,3200,3200,0
4888,3200,3200,0
4889,3200,3200,0
4890,3200,3200,0
4891,3200,3200,0
4892,3200,3200,0
4893,3200,3200,0
4894,3200,3200,0
4895,3200,3200,0
4896,3200,3200,0
4897,3200,3200,0
4898,3200,3200,0
4899,3200,3200,0
4900,3200,3200,0
4901,3200,3200,0
4902,3200,3200,0
4903,3200,3200,0
4904,3200,3200,0
4905,3200,3200,0
4906,3200,3200,0
4907,3200,3200,0
4908,3200,3200,0
4909,3200,3200,0
4910,3200,3200,0
4911,3200,3200,0
4912,3200,3200,0
4913,3200,3200,0
4914,3200,3200,0
4915,3200,3200,0
4916,3200,3200,0
4917,3200,3200,0
4918,3200,3200,0
4919,3200,3200,0
4920,3200,3200,0
4921,3200,3200,0
4922,3200,3200,0
4923,3200,3200,0
4924,3200,3200,0
4925,3200,3200,0
4926,3200,3200,0
4927,3200,3200,0
4928,3200,3200,0
4929,3200,3200,0
4930,3200,3200,0
4931,3200,3200,0
4932,3200,3200,0
4933,3200,3200,0
4934,3200,3200,0
4935,3200,3200,0
4936,3200,3200,0
4937,3200,3200,0
4938,3200,3200,0
4939,3200,3200,0
4940,3200,3200,0
4941,3200,3200,0
4942,3200,3200,0
4943,3200,3200,0
4944,3200,3200,0
4945,3200,3200,0
4946,3200,3200,0
4947,3200,3200,0
4948,3200,3200,0
4949,3200,3200,0
4950,3200,3200,0
4951,3200,3200,0
4952,3200,3200,0
4953,3200,3200,0
4954,3200,3200,0
4955,3200,3200,0
4956,3200,3200,0
4957,3200,3200,0
4958,3200,3200,0
4959,3200,3200,0
4960,3200,3200,0
4961,3200,3200,0
4962,3200,3200,0
4963,3200,3200,0
4964,3200,3200,0
4965,3200,3200,0
4966,3200,3200,0
4967,3200,3200,0
4968,3200,3200,0
4969,3200,3200,0
4970,3200,3200,0
4971,3200,3200,0
4972,3200,3200,0
4973,3200,3200,0
4974,3200,3200,0
4975,3200,3200,0
4976,3200,3200,0
4977,3200,3200,0
4978,3200,3200,0
4979,3200,3200,0
4980,3200,3200,0
4981,3200,3200,0
4982,3200,3200,0
4983,3200,3200,0
4984,3200,3200,0
4985,3200,3200,0
4986,3200,3200,0
4987,3200,3200,0
4988,3200,3200,0
4989,3200,3200,0
4990,3200,3200,0
4991,3200,3200,0
4992,3200,3200,0
4993,3200,3200,0
4994,3200,3200,0
4995,3200,3200,0
4996,3200,3200,0
4997,3200,3200,0
4998,3200,3200,0
4999,3200,3200,0
5000,3200,3200,0
5001,3200,3200,0
5002,3200,3200,0
5003,3200,3200,0
5004,3200,3200,0
5005,3200,3200,0
5006,3200,3200,0
5007,3200,3200,0
5008,3200,3200,0
5009,3200,3200,0
5010,3200,3200,0
5011,3200,3200,0
5012,3200,3200,0
5013,3200,3200,0
5014,3200,3200,0
5015,3200,3200,0
5016,3200,3200,0
5017,3200,3200,0
5018,3200,3200,0
5019,3200,3200,0
5020,3200,3200,0
5021,3200,3200,0
5022,3200,3200,0
5023,3200,3200,0
5024,3200,3200,0
5025,3200,3200,0
5026,3200,3200,0
5027,3200,3200,0
5028,3200,3200,0
5029,3200,3200,0
5030,3200,3200,0
5031,3200,3200,0
5032,3200,3200,0
5033,3200,3200,0
5034,3200,3200,0
5035,3200,3200,0
5036,3200,3200,0
5037,3200,3200,0
5038,3200,3200,0
5039,3200,3200,0
5040,3200,3200,0
5041,3200,3200,0
5042,3200,3200,0
5043,3200,3200,0
5044,3200,3200,0
5045,3200,3200,0
5046,3200,3200,0
5047,3200,3200,0
5048,3200,3200,0
5049,3200,3200,0
5050,3200,3200,0
5051,3200,3200,0
5052,3200,3200,0
5053,3200,3200,0
5054,3200,3200,0
5055,3200,3200,0
5056,3200,3200,0
5057,3200,3200,0
5058,3200,3200,0
5059,3200,3200,0
5060,3200,3200,0
5061,3200,3200,0
5062,3200,3200,0
5063,3200,3200,0
5064,3200,3200,0
5065,3200,3200,0
5066,3200,3200,0
5067,3200,3200,0
5068,3200,3200,0
5069,3200,3200,0
5070,3200,3200,0
5071,3200,3200,0
5072,3200,3200,0
5073,3200,3200,0
5074,3200,3200,0
5075,3200,3200,0
5076,3200,3200,0
5077,3200,3200,0
5078,3200,3200,0
5079,3200,3200,0
5080,3200,3200,0
5081,3200,3200,0
5082,3200,3200,0
5083,3200,3200,0
5084,3200,3200,0
5085,3200,3200,0
5086,3200,3200,0
5087,3200,3200,0
5088,3200,3200,0
5089,3200,3200,0
5090,3200,3200,0
5091,3200,3200,0
5092,3200,3200,0
5093,3200,3200,0
5094,3200,3200,0
5095,3200,3200,0
5096,3200,3200,0
5097,3200,3200,0
5098,3200,3200,0
5099,3200,3200,0
5100,3200,3200,0
5101,3200,3200,0
